location,bhk,total_sqft,bath,price
1ST BLOCK JAYANAGAR,4,2850.0,4.0,428.0
1ST BLOCK JAYANAGAR,3,1630.0,3.0,194.0
1ST BLOCK JAYANAGAR,3,1875.0,2.0,235.0
1ST BLOCK JAYANAGAR,3,1200.0,2.0,130.0
1ST BLOCK JAYANAGAR,2,1235.0,2.0,148.0
1ST BLOCK JAYANAGAR,4,2750.0,4.0,413.0
1ST BLOCK JAYANAGAR,4,2450.0,4.0,368.0
1ST BLOCK KORAMANGALA,2,1415.0,2.0,110.0
1ST BLOCK KORAMANGALA,2,860.0,2.0,65.5
1ST BLOCK KORAMANGALA,4,3000.0,3.0,300.0
1ST BLOCK KORAMANGALA,3,2350.0,3.0,210.0
1ST BLOCK KORAMANGALA,4,3000.0,5.0,500.0
1ST PHASE JP NAGAR,3,1875.0,3.0,167.0
1ST PHASE JP NAGAR,5,1500.0,5.0,85.0
1ST PHASE JP NAGAR,3,2065.0,4.0,210.0
1ST PHASE JP NAGAR,3,2059.0,3.0,225.0
1ST PHASE JP NAGAR,2,1394.0,2.0,100.0
1ST PHASE JP NAGAR,2,1077.0,2.0,93.0
1ST PHASE JP NAGAR,2,1566.0,2.0,180.0
1ST PHASE JP NAGAR,1,840.0,2.0,50.0
1ST PHASE JP NAGAR,3,1590.0,3.0,131.0
1ST PHASE JP NAGAR,3,2180.0,3.0,210.0
1ST PHASE JP NAGAR,2,1180.0,2.0,88.5
1ST PHASE JP NAGAR,2,1200.0,2.0,86.0
1ST PHASE JP NAGAR,2,1394.0,2.0,85.0
1ST PHASE JP NAGAR,3,2077.0,3.0,175.0
1ST PHASE JP NAGAR,2,1205.0,2.0,85.0
1ST PHASE JP NAGAR,2,900.0,2.0,75.0
2ND STAGE NAGARBHAVI,4,1500.0,4.0,220.0
2ND STAGE NAGARBHAVI,4,1350.0,4.0,200.0
2ND STAGE NAGARBHAVI,4,1200.0,4.0,225.0
2ND STAGE NAGARBHAVI,4,1500.0,3.0,230.0
5TH BLOCK HBR LAYOUT,2,1206.0,2.0,56.0
5TH BLOCK HBR LAYOUT,3,1270.0,2.0,70.0
5TH BLOCK HBR LAYOUT,2,1312.0,2.0,69.0
5TH BLOCK HBR LAYOUT,2,1100.0,2.0,48.0
5TH BLOCK HBR LAYOUT,5,3600.0,5.0,130.0
5TH BLOCK HBR LAYOUT,6,5100.0,5.0,300.0
5TH PHASE JP NAGAR,2,1075.0,2.0,60.0
5TH PHASE JP NAGAR,2,1150.0,3.0,52.5
5TH PHASE JP NAGAR,2,1256.0,2.0,62.8
5TH PHASE JP NAGAR,2,1207.0,2.0,63.0
5TH PHASE JP NAGAR,3,1725.0,2.0,100.0
5TH PHASE JP NAGAR,2,1440.0,2.0,60.0
5TH PHASE JP NAGAR,3,1700.0,2.0,100.0
5TH PHASE JP NAGAR,5,2500.0,5.0,110.0
5TH PHASE JP NAGAR,1,600.0,1.0,30.0
5TH PHASE JP NAGAR,2,1390.0,2.0,65.0
5TH PHASE JP NAGAR,2,1000.0,2.0,48.0
5TH PHASE JP NAGAR,3,1350.0,2.0,75.0
5TH PHASE JP NAGAR,1,552.0,1.0,23.5
5TH PHASE JP NAGAR,2,1200.0,2.0,51.0
5TH PHASE JP NAGAR,2,1030.0,2.0,57.0
5TH PHASE JP NAGAR,2,1200.0,2.0,68.0
5TH PHASE JP NAGAR,2,1190.0,2.0,61.8
5TH PHASE JP NAGAR,5,4000.0,5.0,170.0
5TH PHASE JP NAGAR,2,1080.0,2.0,53.0
5TH PHASE JP NAGAR,2,1041.0,2.0,54.0
5TH PHASE JP NAGAR,2,812.0,2.0,42.0
5TH PHASE JP NAGAR,2,1010.0,2.0,57.0
6TH PHASE JP NAGAR,2,1192.0,2.0,74.0
6TH PHASE JP NAGAR,2,1180.0,2.0,80.0
6TH PHASE JP NAGAR,4,3245.0,4.0,250.0
6TH PHASE JP NAGAR,3,1645.0,3.0,100.0
6TH PHASE JP NAGAR,2,1140.0,2.0,65.0
6TH PHASE JP NAGAR,3,2040.0,3.0,200.0
6TH PHASE JP NAGAR,2,1213.0,2.0,63.0
6TH PHASE JP NAGAR,2,1216.0,2.0,60.0
6TH PHASE JP NAGAR,2,1460.0,2.0,80.0
6TH PHASE JP NAGAR,3,2003.0,3.0,200.0
6TH PHASE JP NAGAR,3,1810.0,3.0,131.0
6TH PHASE JP NAGAR,3,1515.0,2.0,135.0
6TH PHASE JP NAGAR,2,1192.0,2.0,75.0
6TH PHASE JP NAGAR,2,1280.0,2.0,88.0
7TH PHASE JP NAGAR,2,1080.0,2.0,72.0
7TH PHASE JP NAGAR,2,1270.0,2.0,93.0
7TH PHASE JP NAGAR,3,1420.0,2.0,100.0
7TH PHASE JP NAGAR,3,1850.0,3.0,150.0
7TH PHASE JP NAGAR,2,1245.0,2.0,94.0
7TH PHASE JP NAGAR,2,1175.0,2.0,82.0
7TH PHASE JP NAGAR,3,1400.0,2.0,95.0
7TH PHASE JP NAGAR,3,2225.0,3.0,160.0
7TH PHASE JP NAGAR,2,1050.0,2.0,71.0
7TH PHASE JP NAGAR,2,918.0,2.0,50.49
7TH PHASE JP NAGAR,3,1450.0,2.0,100.0
7TH PHASE JP NAGAR,3,1420.0,2.0,96.0
7TH PHASE JP NAGAR,3,1680.0,3.0,120.0
